name,crowder,wt_%,K,D
Glycerol, Glycerol,0,856000000±96728000,1±1
Glycerol,Glycerol,10,744000000±149172000,1±1
Glycerol,Glycerol,20,487000000±137869700,1±1
Glycerol,Glycerol,30,114000000±26356800,1±1
Glycerol,Glycerol,40,6180000±1019082,1±1
Glycerol,Glycerol,50,1620000±421200,1±1
Ficoll400, Ficoll400,0,856000000±96728000,1±1
Ficoll400,Ficoll400,10,1050000000±498330000,1±1
Ficoll400,Ficoll400,20,791000000±301458010,1±1
Ficoll400,Ficoll400,30,671000000±239479900,1±1
Ficoll400,Ficoll400,40,153000000±40437900,1±1
Ficoll400,Ficoll400,50,59200000±9264800,1±1
Dextran40000, Dextran40000,0,856000000±96728000,1±1
Dextran40000,Dextran40000,10,975000000±339885000,1±1
Dextran40000,Dextran40000,20,638000000±278933600,1±1
Dextran40000,Dextran40000,30,340000000±123828000,1±1
Dextran40000,Dextran40000,40,63800000±17838480,1±1
Dextran40000,Dextran40000,50,13500000±4475250,1±1
Dextran70000, Dextran70000,0,856000000±96728000,1±1
Dextran70000,Dextran70000,10,836000000±318683200,1±1
Dextran70000,Dextran70000,20,684000000±254584800,1±1
Dextran70000,Dextran70000,30,204000000±61485600,1±1
Dextran70000,Dextran70000,40,81100000±22456590,1±1
Dextran70000,Dextran70000,50,31600000±10048800,1±1
